Problem,n,m,Time,Kurtosis,N,Obj
Generator_10M_1_1.mat,10,10000000,1.539533,2.17768785380382,20,118.035786923113
Generator_10M_1_1.mat,10,10000000,1.51021,1.25073631168165,20,38.4569978432125
Generator_10M_1_1.mat,10,10000000,1.510816,1.13413169636173,20,7.64238699893409
Generator_10M_1_1.mat,10,10000000,1.516671,1.12296923481108,20,-16.2058909883202
Generator_10M_1_1.mat,10,10000000,1.512345,1.12186473588828,20,-39.3144740141714
Generator_10M_1_10.mat,10,10000000,1.510239,2.28562385050685,20,121.831054336905
Generator_10M_1_10.mat,10,10000000,1.50634,1.223688049123,20,39.4064584084836
Generator_10M_1_10.mat,10,10000000,1.511649,1.11810876120823,20,8.62631653156707
Generator_10M_1_10.mat,10,10000000,1.512775,1.10831855799399,20,-15.2092013464839
Generator_10M_1_10.mat,10,10000000,1.51319,1.10735215416802,20,-38.3163590796889
Generator_10M_1_2.mat,10,10000000,1.573948,1.75050460066292,20,110.802208841728
Generator_10M_1_2.mat,10,10000000,1.583796,1.17025263999707,20,34.5769718289284
Generator_10M_1_2.mat,10,10000000,1.582083,1.09703069351452,20,3.62649455995677
Generator_10M_1_2.mat,10,10000000,1.570667,1.08987384928567,20,-20.2720475038592
Generator_10M_1_2.mat,10,10000000,1.578783,1.08916336445366,20,-43.3862146875165
Generator_10M_1_3.mat,10,10000000,1.598096,2.1788802711497,20,97.4913487020384
Generator_10M_1_3.mat,10,10000000,1.590865,1.27053341029491,20,21.9961928914858
Generator_10M_1_3.mat,10,10000000,1.593047,1.14515030067458,20,-8.79091922233562
Generator_10M_1_3.mat,10,10000000,1.599699,1.13329780304256,20,-32.6709733011328
Generator_10M_1_3.mat,10,10000000,1.59916,1.13212604208997,20,-55.7832352508864
Generator_10M_1_4.mat,10,10000000,1.927156,1.18618323363101,20,82.1043845416318
Generator_10M_1_4.mat,10,10000000,1.923208,1.05464051294449,20,5.43572028501009
Generator_10M_1_4.mat,10,10000000,1.922121,1.04262342999603,20,-28.1532095330487
Generator_10M_1_4.mat,10,10000000,1.926398,1.04150007836987,20,-52.4777796492215
Generator_10M_1_4.mat,10,10000000,1.924949,1.04138879153206,20,-75.6371547935856
Generator_10M_1_5.mat,10,10000000,1.515705,1.69232423341696,20,106.555204708658
Generator_10M_1_5.mat,10,10000000,1.509617,1.16669202471871,20,37.7247250315294
Generator_10M_1_5.mat,10,10000000,1.514174,1.09281513461779,20,7.91221318824562
Generator_10M_1_5.mat,10,10000000,1.514081,1.08554766453378,20,-15.8363256183271
Generator_10M_1_5.mat,10,10000000,1.507416,1.08482580987132,20,-38.9349359565385
Generator_10M_1_6.mat,10,10000000,1.496286,1.87602627151571,20,108.86236072323
Generator_10M_1_6.mat,10,10000000,1.490783,1.24508435667617,20,36.3687325886793
Generator_10M_1_6.mat,10,10000000,1.49199,1.14152063614422,20,6.81942705967256
Generator_10M_1_6.mat,10,10000000,1.495495,1.13089774494311,20,-16.8954113707868
Generator_10M_1_6.mat,10,10000000,1.486734,1.12983891779391,20,-39.9905640513469
Generator_10M_1_7.mat,10,10000000,1.26411,2.52729214055207,20,111.10427408281
Generator_10M_1_7.mat,10,10000000,1.263894,1.33694901045384,20,35.2059062348456
Generator_10M_1_7.mat,10,10000000,1.271268,1.20205366005227,20,4.69605575794727
Generator_10M_1_7.mat,10,10000000,1.26527,1.18905562766767,20,-19.1555457403368
Generator_10M_1_7.mat,10,10000000,1.266381,1.18776580703407,20,-42.2650316064203
Generator_10M_1_8.mat,10,10000000,1.697786,2.27989888217961,20,93.6717505708583
Generator_10M_1_8.mat,10,10000000,1.70176,1.41377307260775,20,24.6249346094609
Generator_10M_1_8.mat,10,10000000,1.699164,1.24442171333136,20,-3.49010904616934
Generator_10M_1_8.mat,10,10000000,1.694138,1.22790065611961,20,-27.0332492383082
Generator_10M_1_8.mat,10,10000000,1.70403,1.22626260087171,20,-50.1109147590078
Generator_10M_1_9.mat,10,10000000,1.456931,2.43305988494328,20,110.717917078181
Generator_10M_1_9.mat,10,10000000,1.459974,1.30150482360687,20,36.7415842479759
Generator_10M_1_9.mat,10,10000000,1.464594,1.17886482617296,20,6.61860212244969
Generator_10M_1_9.mat,10,10000000,1.460023,1.16735251844712,20,-17.1584673750019
Generator_10M_1_9.mat,10,10000000,1.454769,1.16621354889205,20,-40.2598856442908
Generator_10M_2_1.mat,20,10000000,3.146381,2.97584705673193,40,233.649143646439
Generator_10M_2_1.mat,20,10000000,3.148022,1.2897352226542,40,88.8627305955388
Generator_10M_2_1.mat,20,10000000,3.159775,1.14662949093934,40,28.2310719481461
Generator_10M_2_1.mat,20,10000000,3.148703,1.13377287451682,40,-19.3829965185569
Generator_10M_2_1.mat,20,10000000,3.133819,1.13250870988475,40,-65.5921110925596
